"","x"
"1",1.29522793462061
"2",-11.3522604479808
"3",-38.4001621291074
"4",-15.4155551843956
"5",-81.4411447872473
"6",-137.305432198765
"7",-47.0017804017875
"8",-6.5836529119847
"9",-3.29691829392686e-12
"10",-2.78532752417959e-12
"11",-128.848095068248
"12",-135.411553540954
"13",12.5702071841927
"14",-70.0076516199233
"15",-176.017483330051
"16",-234.729144934874
"17",-244.880662009546
"18",-219.323416235297
"19",-183.400062954541
"20",-2.61479726759717e-12
"21",-120.006536742694
"22",-66.0318922176048
"23",-114.58074486067
"24",-1.08002495835535e-12
"25",75.4283476115867
"26",-49.0291047353292
"27",-146.240822478702
"28",-234.734797468358
"29",-271.929318554503
"30",-226.107676956513
"31",-242.426772706498
"32",-303.954960301902
"33",-105.574900226235
"34",-120.954681553836
"35",-83.1581783370938
"36",45.7151018727585
"37",104.818121261691
"38",-52.9611566210928
"39",-146.549015439334
"40",-266.529983267463
"41",-414.221301336474
"42",-436.708422381762
"43",-251.128934738868
"44",-229.059031750918
"45",-117.113396092987
"46",-123.672571383508
"47",44.4794440895785
"48",49.3447571123132
"49",92.7465613294814
"50",-36.4583816640925
"51",-52.6414220648965
"52",-48.5637848005265
"53",-1.90425453183707e-12
"54",-2.55795384873636e-12
"55",-3.18323145620525e-12
"56",-54.0869979638611
"57",-92.1344172484962
"58",-97.8201094460978
"59",-84.2871980370383
"60",32.548581119146
"61",83.2503363939335
"62",-42.5163073087862
"63",-140.330499279051
"64",-213.175140480487
"65",-224.853791123747
"66",-174.371328271243
"67",-1.98951966012828e-12
"68",-46.689147647945
"69",-1.4210854715202e-12
"70",-8.81072992342524e-13
"71",-9.52127265918534e-13
"72",-58.0078910097045
"73",13.8453140797827
"74",-33.198086192467
"75",-42.2273130443135
"76",-1.23634436022257e-12
"77",-128.937450136721
"78",-305.805089870832
"79",-355.267212950818
"80",-517.469439804188
"81",-472.273273735342
"82",-91.6029127698235
"83",-3.25006281528979
"84",139.585169339418
"85",45.8935917788885
"86",-13.7423721796033
"87",-64.5815040268867
"88",-165.306011910803
"89",-314.733809000275
"90",-390.526216031699
"91",-276.615897698578
"92",-268.922160021741
"93",-177.03534371541
"94",-237.89307121504
"95",-71.6005244247854
"96",-166.192741832672
"97",-0.395905891271681
"98",-41.7865130407091
"99",-173.868647692629
"100",-283.078866320853
"101",-293.787169174535
"102",-186.837116228548
"103",-121.88928954748
"104",-176.842606293704
"105",-193.872370815825
"106",-114.711326086678
"107",-1.53477230924182e-12
"108",-77.600778185813
"109",-1.70530256582424e-13
"110",-22.7783620982902
"111",-126.221938484501
"112",-323.360740345749
"113",-358.220347027151
"114",-503.144372979798
"115",-447.825535701725
"116",-303.944370329292
"117",-147.789337770885
"118",12.2931170621612
"119",-4.54747350886464e-13
"120",92.3376115588832
"121",-52.4980481278757
"122",-206.070473417779
"123",-204.018627077986
"124",-304.103324101986
"125",-191.836313305065
"126",-2.04636307898909e-12
"127",-38.289053276369
"128",-20.5577390379292
"129",-62.9709122467885
"130",-1.47792889038101e-12
"131",140.297657709996
"132",87.8859068575778
"133",-35.1528098182155
"134",-140.408652310479
"135",-219.890511228861
"136",-236.484598634873
"137",-151.251564378555
"138",-104.429118871679
"139",-2.33058017329313e-12
"140",-28.780830978525
"141",87.3441380029687
"142",172.396513199125
"143",140.020699110621
"144",116.43644912548
"145",-33.7151704584579
"146",-129.022049376214
"147",-118.889596368174
"148",-161.4227061795
"149",-203.269293584698
"150",-257.607798661018
"151",-374.279703959815
"152",-231.639165103502
"153",-113.125003214125
"154",-74.6668257392523
"155",-5.96855898038484e-13
"156",56.6980922105123
"157",-20.6972848026761
"158",-69.4188158345224
"159",-146.018964542188
"160",-95.4978138917415
"161",-143.286908336593
"162",-2.72848410531878e-12
"163",-2.38742359215394e-12
"164",-26.4572888700231
"165",-51.2193117117994
"166",-1.13686837721616e-12
"167",64.4774123005876
"168",58.1788625708272
"169",-25.9498667737451
"170",-128.456526854467
"171",-199.642642023465
"172",-276.41226755569
"173",-324.386973234697
"174",-199.829103027336
"175",-0.531584064429353
"176",-2.67164068645798e-12
"177",-30.1055696232744
"178",-1.36424205265939e-12
"179",-5.40012479177676e-13
"180",49.3075782996839
"181",-12.243806400518
"182",-33.0831015413804
"183",-39.5155870546272
"184",-53.7323709659313
"185",-132.345689608327
"186",-245.176256303263
"187",-302.234479624762
"188",-249.45720458357
"189",-56.060880782441
"190",47.4399968175889
"191",99.5062107759146
"192",64.0021720182841
"193",-47.2248727287004
"194",-67.367099664465
"195",-20.9388812248059
"196",-51.3289896504448
"197",-158.167923576056
"198",-267.275602570241
"199",-321.914912971188
"200",-152.278853426719
